doc_id,doc_date,term_id,token,lemma,upos,nrc,afinn,bing
doc1,2019-12-01,2,easing,easing,noun,NA,NA,positive
doc1,2019-12-01,6,china,china,propn,NA,NA,NA
doc1,2019-12-01,7,trade,trade,noun,trust,NA,NA
doc1,2019-12-01,8,tensions,tension,noun,anger,-1,negative
doc1,2019-12-01,10,october,october,propn,NA,NA,NA
doc1,2019-12-01,11,triggered,trigger,verb,NA,NA,NA
doc1,2019-12-01,13,risk,risk,noun,anticipation,-2,negative
doc1,2019-12-01,13,risk,risk,noun,fear,-2,negative
doc1,2019-12-01,13,risk,risk,noun,negative,-2,negative
doc1,2019-12-01,16,phase,phase,noun,NA,NA,NA
doc1,2019-12-01,18,global,global,adj,NA,NA,NA
doc1,2019-12-01,19,financial,financial,adj,NA,NA,NA
doc1,2019-12-01,20,markets,market,noun,NA,NA,NA
doc1,2019-12-01,23,september,september,propn,NA,NA,NA
doc1,2019-12-01,25,risky,risky,adj,anticipation,NA,negative
doc1,2019-12-01,25,risky,risky,adj,fear,NA,negative
doc1,2019-12-01,25,risky,risky,adj,negative,NA,negative
doc1,2019-12-01,27,prices,price,noun,NA,NA,NA
doc1,2019-12-01,30,globe,globe,noun,NA,NA,NA
doc1,2019-12-01,31,stayed,stay,verb,NA,NA,NA
doc1,2019-12-01,32,range,range,noun,NA,NA,NA
doc1,2019-12-01,34,bound,bound,adj,negative,NA,NA
doc1,2019-12-01,36,supported,support,verb,NA,2,positive
doc1,2019-12-01,38,additional,additional,adj,NA,NA,NA
doc1,2019-12-01,39,monetary,monetary,noun,anticipation,NA,NA
doc1,2019-12-01,39,monetary,monetary,noun,positive,NA,NA
doc1,2019-12-01,40,accommodation,accommodation,noun,positive,NA,NA
doc1,2019-12-01,43,context,context,noun,NA,NA,NA
doc1,2019-12-01,45,subdued,subdue,verb,negative,NA,NA
doc1,2019-12-01,46,prospects,prospect,noun,positive,1,NA
doc1,2019-12-01,48,global,global,adj,NA,NA,NA
doc1,2019-12-01,49,activity,activity,noun,NA,NA,NA
doc1,2019-12-01,52,sentiment,sentiment,noun,NA,NA,NA
doc1,2019-12-01,53,shifted,shift,verb,NA,NA,NA
doc1,2019-12-01,55,stocks,stock,noun,NA,NA,NA
doc1,2019-12-01,56,posted,post,verb,NA,NA,NA
doc1,2019-12-01,58,gains,gain,noun,anticipation,2,positive
doc1,2019-12-01,58,gains,gain,noun,joy,2,positive
doc1,2019-12-01,58,gains,gain,noun,positive,2,positive
doc1,2019-12-01,61,markets,market,noun,NA,NA,NA
doc1,2019-12-01,63,china,china,propn,NA,NA,NA
doc1,2019-12-01,66,credit,credit,noun,positive,NA,NA
doc1,2019-12-01,66,credit,credit,noun,trust,NA,NA
doc1,2019-12-01,67,spreads,spread,noun,NA,NA,NA
doc1,2019-12-01,68,tightened,tighten,verb,anger,NA,NA
doc1,2019-12-01,70,term,term,noun,NA,NA,NA
doc1,2019-12-01,71,spreads,spreads,noun,NA,NA,NA
doc1,2019-12-01,73,advanced,advanced,adj,positive,1,positive
doc1,2019-12-01,74,economies,economy,noun,trust,NA,NA
doc1,2019-12-01,76,aes,aes,noun,NA,NA,NA
doc1,2019-12-01,78,initially,initially,adv,NA,NA,NA
doc1,2019-12-01,79,widened,widen,verb,NA,NA,NA
doc1,2019-12-01,81,line,line,noun,NA,NA,NA
doc1,2019-12-01,84,change,change,noun,fear,NA,NA
doc1,2019-12-01,86,market,market,noun,NA,NA,NA
doc1,2019-12-01,87,sentiment,sentiment,noun,NA,NA,NA
doc1,2019-12-01,91,upward,upward,adj,NA,NA,NA
doc1,2019-12-01,92,momentum,momentum,noun,anticipation,NA,NA
doc1,2019-12-01,92,momentum,momentum,noun,positive,NA,NA
doc1,2019-12-01,93,petered,peter,verb,NA,NA,NA
doc1,2019-12-01,98,weeks,week,noun,NA,NA,NA
doc1,2019-12-01,102,persistently,persistently,adv,NA,NA,NA
doc1,2019-12-01,103,low,low,adj,NA,NA,NA
doc1,2019-12-01,104,inflation,inflation,noun,fear,NA,NA
doc1,2019-12-01,104,inflation,inflation,noun,negative,NA,NA
doc1,2019-12-01,108,tepid,tepid,adj,NA,NA,negative
doc1,2019-12-01,109,outlook,outlook,noun,NA,NA,NA
doc1,2019-12-01,111,growth,growth,noun,positive,2,NA
